,tissue
GTEX-SE5C-1226-SM-4BRWV,ESOPHAGUS
GTEX-139T6-1226-SM-5IFFC,TESTIS
GTEX-TSE9-0011-R4A-SM-3DB7H,BRAIN
GTEX-ZYFG-0826-SM-5BC5T,PANCREAS
GTEX-11DXW-1026-SM-5H11K,BRAIN
GTEX-11GSP-1826-SM-5N9DQ,ESOPHAGUS
GTEX-13FLV-0226-SM-5J2OF,THYROID
GTEX-ZC5H-1326-SM-5HL7E,ESOPHAGUS
GTEX-ZE9C-0011-R2a-SM-4WKGH,BRAIN
GTEX-XBEW-1526-SM-4AT4K,ESOPHAGUS
GTEX-11EI6-0826-SM-5985V,LUNG
GTEX-U4B1-1426-SM-4DXTX,PROSTATE
GTEX-13OW7-0011-R5b-SM-5O9DM,BRAIN
GTEX-T6MO-1526-SM-4DM57,UTERUS
GTEX-WL46-0011-R5A-SM-3LK6V,BRAIN
GTEX-13NYC-2826-SM-5K7WR,BRAIN
GTEX-U4B1-0826-SM-4DXTW,ESOPHAGUS
GTEX-13QJC-0526-SM-5RQKB,LUNG
GTEX-OIZH-1326-SM-3NB1H,ADRENAL GLAND
GTEX-O5YT-0726-SM-3MJHA,ESOPHAGUS
GTEX-ZVT4-0126-SM-51MS1,SKIN
GTEX-13OVH-1826-SM-5K7YW,ESOPHAGUS
K-562-SM-32PMP,BONE MARROW
GTEX-OXRL-0626-SM-3NM9C,ESOPHAGUS
GTEX-YJ89-2926-SM-5P9IT,BRAIN
GTEX-144GL-0626-SM-5LU4D,SKIN
GTEX-S7SE-0011-R10A-SM-2XCDF,BRAIN
GTEX-13OW8-0226-SM-5K7UP,BREAST
GTEX-111YS-1726-SM-5GIED,PROSTATE
GTEX-144GM-0126-SM-5Q5AX,LUNG
GTEX-11ONC-0011-R9b-SM-5NQ8J,BRAIN
K-562-SM-5K7TT,BONE MARROW
GTEX-U4B1-0726-SM-4DXUA,PANCREAS
GTEX-WOFL-0008-SM-4OOSZ,SKIN
GTEX-11DZ1-0426-SM-5H11A,LUNG
GTEX-1399T-0011-R1b-SM-5DUWN,BRAIN
GTEX-13FHO-2926-SM-5L3ES,BRAIN
GTEX-13OVG-1626-SM-5J1NF,SKIN
GTEX-XMK1-0008-SM-4GICF,SKIN
GTEX-144GO-2726-SM-5O9A2,ESOPHAGUS
GTEX-RU72-3026-SM-5SI7Y,BRAIN
GTEX-WHWD-0008-SM-4OOSU,SKIN
GTEX-YFC4-0008-SM-4RGM3,SKIN
GTEX-YB5K-2026-SM-4VDT3,SKIN
GTEX-S7SF-0008-SM-3NM8T,SKIN
GTEX-S4P3-1326-SM-4AD6V,BREAST
GTEX-POMQ-1226-SM-3P61F,UTERUS
GTEX-146FR-1326-SM-5SIAJ,SKIN
GTEX-1477Z-0011-R5b-SM-5PNUO,BRAIN
GTEX-ZYWO-2226-SM-5GZXR,SKIN
GTEX-OXRP-0326-SM-33HBJ,THYROID
GTEX-XGQ4-1526-SM-4AT6H,ESOPHAGUS
GTEX-S4UY-0126-SM-3K2BB,SKIN
GTEX-1399T-1526-SM-5P9J6,TESTIS
GTEX-11VI4-0326-SM-5EQ6L,STOMACH
GTEX-RVPU-0011-R10A-SM-2XCAH,BRAIN
GTEX-PLZ6-0426-SM-2I5FG,LUNG
GTEX-NL3H-0011-R7a-SM-2I3G5,BRAIN
GTEX-13VXT-1626-SM-5IJES,UTERUS
GTEX-OXRO-0326-SM-2I5EE,LUNG
GTEX-145LU-0011-R8b-SM-5PNZG,BRAIN
GTEX-ZDYS-0426-SM-5IJEQ,LUNG
GTEX-PLZ6-1426-SM-2S1OQ,SKIN
GTEX-13RTJ-0126-SM-5S2NN,SKIN
GTEX-X15G-1726-SM-4PQZN,OVARY
GTEX-YF7O-1926-SM-4W1YQ,PROSTATE
GTEX-11VI4-1026-SM-5EQM1,OVARY
GTEX-PLZ6-1226-SM-3P5ZS,TESTIS
GTEX-Y5V6-0008-SM-4V6FV,SKIN
GTEX-14BIM-0011-R4b-SM-5S2RK,BRAIN
GTEX-WVJS-0826-SM-4MVNR,LUNG
GTEX-1211K-1526-SM-5FQU4,SKIN
GTEX-117XS-1926-SM-5GICO,BREAST
GTEX-X261-0011-R8A-SM-4E3I5,BRAIN
GTEX-131YS-0011-R3b-SM-5DUXB,BRAIN
GTEX-ZAB4-0011-R4a-SM-4SOKB,BRAIN
GTEX-11TT1-0126-SM-5LUAA,ADRENAL GLAND
GTEX-XUW1-0008-SM-4BOQH,SKIN
K-562-SM-4AD4F,BONE MARROW
GTEX-12WSM-0011-R5a-SM-5EQ4Y,BRAIN
GTEX-13NZB-2126-SM-5MR4Y,BREAST
GTEX-Y114-0526-SM-4TT8V,ADRENAL GLAND
GTEX-WEY5-0726-SM-4LMID,UTERUS
GTEX-14DAQ-3026-SM-5S2QZ,BRAIN
GTEX-P44G-0011-R11A-SM-2I3FD,BRAIN
GTEX-148VJ-0011-R9b-SM-5SI77,BRAIN
GTEX-11ONC-1526-SM-5GU6S,ESOPHAGUS
GTEX-11P81-0926-SM-59874,ESOPHAGUS
GTEX-N7MT-0011-R6a-SM-2I3G3,BRAIN
GTEX-11O72-0008-SM-5Q5DN,SKIN
GTEX-S95S-1226-SM-4GICG,SKIN
GTEX-WEY5-0008-SM-4LMKC,SKIN
GTEX-XV7Q-1826-SM-4BRUV,SKIN
GTEX-14AS3-0726-SM-5S2NY,ESOPHAGUS
GTEX-PLZ5-0826-SM-3P5ZW,ESOPHAGUS
GTEX-147GR-0011-R7a-SM-5S2RP,BRAIN
GTEX-11DXX-1326-SM-5GIDZ,STOMACH
GTEX-111YS-1226-SM-5EGGJ,PANCREAS
GTEX-11XUK-0726-SM-5EQMX,ESOPHAGUS
GTEX-X4EP-0526-SM-3P5YW,LUNG
GTEX-11GSP-0426-SM-5A5KX,PANCREAS
GTEX-12WSN-1826-SM-5LZUT,ESOPHAGUS
GTEX-XV7Q-2326-SM-4BRVZ,BREAST
GTEX-S7SE-0826-SM-4AT4D,BREAST
GTEX-WWYW-3126-SM-3NB39,BRAIN
GTEX-XOT4-0726-SM-4GIAW,BREAST
GTEX-131XF-1026-SM-5BC6A,LUNG
GTEX-13X6I-0011-R5a-SM-5PNWW,BRAIN
GTEX-12ZZZ-0011-R6b-SM-5EQ5B,BRAIN
GTEX-145LS-0011-R6b-SM-5PNWL,BRAIN
GTEX-12ZZZ-0011-R7b-SM-5EGLE,BRAIN
GTEX-12WSN-0726-SM-5GCMS,THYROID
GTEX-11ZTS-1126-SM-5LU9X,THYROID
GTEX-ZP4G-1226-SM-4WWCJ,STOMACH
GTEX-XLM4-1826-SM-5S2SC,LUNG
GTEX-XV7Q-1226-SM-4BRVT,ESOPHAGUS
GTEX-13VXU-0626-SM-5L3F9,SKIN
GTEX-XLM4-1526-SM-4AT6D,TESTIS
GTEX-11DXZ-0926-SM-5N9CG,THYROID
GTEX-V955-1326-SM-4JBHR,STOMACH
GTEX-12WSL-1326-SM-5LZVW,ESOPHAGUS
GTEX-Q2AI-0526-SM-2I3EJ,LUNG
GTEX-13PL7-2326-SM-5L3FY,OVARY
GTEX-13RTL-0011-R9a-SM-5Q5BR,BRAIN
GTEX-11TUW-3126-SM-5GU4Y,BRAIN
GTEX-X15G-0526-SM-3NMB7,THYROID
GTEX-OXRO-0011-R10A-SM-2I5EH,BRAIN
GTEX-12ZZZ-3026-SM-5BC67,BRAIN
GTEX-X5EB-1826-SM-4E3K8,PROSTATE
GTEX-S32W-2126-SM-2XCB1,SKIN
GTEX-P4QS-0726-SM-3NMCZ,ESOPHAGUS
GTEX-13NYB-3026-SM-5IJD7,BRAIN
GTEX-T6MN-0726-SM-32PML,BREAST
GTEX-ZXG5-0011-R7b-SM-57WCC,BRAIN
GTEX-RU72-0726-SM-46MUW,ESOPHAGUS
GTEX-X4EP-0011-R5A-SM-3P628,BRAIN
GTEX-UPIC-1826-SM-4IHKC,STOMACH
GTEX-13OW8-2326-SM-5L3I9,ESOPHAGUS
GTEX-WVJS-0008-SM-4MVPC,SKIN
GTEX-ZAB5-1026-SM-5HL91,ESOPHAGUS
GTEX-ZVP2-1426-SM-5NQ7P,ESOPHAGUS
GTEX-YJ8A-1426-SM-5PNV7,ESOPHAGUS
GTEX-VJYA-1126-SM-3GIJU,SKIN
GTEX-V1D1-0008-SM-4JBIJ,SKIN
GTEX-145MN-1926-SM-5SIAI,BREAST
GTEX-11ZTT-0626-SM-5EQLM,LUNG
GTEX-SN8G-0008-SM-4DM4X,SKIN
GTEX-X638-0126-SM-47JZ8,SKIN
GTEX-QDT8-0008-SM-48U2F,SKIN
GTEX-13X6J-0011-R6a-SM-5PNUB,BRAIN
GTEX-S4Z8-0126-SM-4GICC,ADRENAL GLAND
GTEX-11P82-0426-SM-5HL5D,ESOPHAGUS
GTEX-P4PQ-2626-SM-5SI7K,THYROID
GTEX-RWS6-0008-SM-47JYV,SKIN
GTEX-12696-0926-SM-5FQTV,KIDNEY
GTEX-111CU-0126-SM-5GZWZ,ADRENAL GLAND
GTEX-PWN1-0126-SM-2I3FK,SKIN
GTEX-117YW-0526-SM-5H11C,LUNG
K-562-SM-2S1Q5,BONE MARROW
GTEX-11EMC-0126-SM-5EGKV,LUNG
GTEX-ZTTD-1126-SM-51MRP,LUNG
GTEX-13FH7-1026-SM-5IJGF,STOMACH
GTEX-139TS-0011-R5b-SM-5J2MZ,BRAIN
GTEX-YEC4-0626-SM-5CVLU,THYROID
GTEX-VJYA-1226-SM-3GIJ6,PROSTATE
GTEX-11ONC-0011-R1a-SM-57WD4,BRAIN
GTEX-139TS-0126-SM-5K7XJ,THYROID
GTEX-XAJ8-0326-SM-47JYI,STOMACH
GTEX-UPJH-0126-SM-4IHLL,TESTIS
GTEX-13O3O-0011-R11b-SM-5KM4G,BRAIN
GTEX-139UW-1126-SM-5IJEJ,ESOPHAGUS
GTEX-NPJ8-0011-R10A-SM-2YUMO,BRAIN
GTEX-N7MT-0226-SM-48TC3,ESOPHAGUS
GTEX-OHPK-2026-SM-3MJH7,UTERUS
GTEX-12ZZY-0011-R6b-SM-5EGLA,BRAIN
GTEX-WFG7-2026-SM-3GIL7,SKIN
GTEX-11ZTT-1826-SM-5CVLN,OVARY
GTEX-144FL-2326-SM-5LUAC,THYROID
K-562-SM-4WAWH,BONE MARROW
GTEX-SUCS-0008-SM-4DM53,SKIN
GTEX-TKQ2-1226-SM-4DXSV,ESOPHAGUS
GTEX-TMMY-0926-SM-4WKH4,LUNG
GTEX-131YS-0011-R7a-SM-5IJDA,BRAIN
GTEX-QESD-1426-SM-2S1R9,SKIN
GTEX-T8EM-0626-SM-4DM62,ESOPHAGUS
GTEX-N7MS-0011-R8a-SM-2YUMK,BRAIN
GTEX-R55D-0926-SM-3GAEU,LUNG
GTEX-Y5V5-0926-SM-4VBPZ,LIVER
GTEX-P78B-1826-SM-3P5YX,STOMACH
GTEX-R55E-2526-SM-2TC6H,BRAIN
GTEX-145ME-0526-SM-5QGQV,ESOPHAGUS
GTEX-WVLH-0011-R2A-SM-3MJFJ,BRAIN
GTEX-11ZTS-2726-SM-5EQLU,ESOPHAGUS
GTEX-PX3G-0526-SM-2I3EM,LUNG
GTEX-X15G-0726-SM-4PQZ5,PANCREAS
GTEX-146FR-2026-SM-5NQAI,STOMACH
GTEX-X4LF-0008-SM-4QAST,SKIN
GTEX-ZVZP-0926-SM-5GIDB,KIDNEY
GTEX-13OVL-0226-SM-5L3E9,SKIN
GTEX-XLM4-0011-R4B-SM-4AT5C,BRAIN
GTEX-12WS9-0011-R3a-SM-5CVNF,BRAIN
GTEX-ZVT2-0426-SM-5E44S,UTERUS
GTEX-SNMC-0526-SM-4DM69,ESOPHAGUS
GTEX-Y3I4-0008-SM-4TT21,SKIN
GTEX-11NUK-1426-SM-5HL68,ESOPHAGUS
GTEX-OHPL-0126-SM-2HMJ7,SKIN
GTEX-QDVN-0008-SM-48U2D,SKIN
GTEX-11ZTS-0011-R3a-SM-5BC78,BRAIN
GTEX-13N1W-0626-SM-5MR4U,BREAST
GTEX-RM2N-0426-SM-2TF4T,LUNG
GTEX-WVLH-2626-SM-4MVNV,TESTIS
GTEX-1399T-3126-SM-5IJFS,BRAIN
GTEX-Y8E4-1326-SM-5IFIY,PANCREAS
GTEX-WY7C-0326-SM-4OND5,ADRENAL GLAND
GTEX-Z93S-1626-SM-5CVMB,SKIN
GTEX-ZQUD-1426-SM-57WER,SKIN
GTEX-13FTW-0626-SM-5IFEX,THYROID
GTEX-11LCK-1626-SM-5PNYB,ESOPHAGUS
GTEX-Y114-1726-SM-4TT7U,OVARY
GTEX-145MH-0011-R5a-SM-5P9JT,BRAIN
GTEX-UPK5-2326-SM-3P5Z8,BREAST
GTEX-13O1R-0011-R9b-SM-5KM33,BRAIN
GTEX-X5EB-0526-SM-46MVP,PANCREAS
GTEX-S4P3-0626-SM-4AD59,PANCREAS
GTEX-Q2AI-0226-SM-48U1D,ADRENAL GLAND
GTEX-12WSD-2826-SM-59HKT,UTERUS
GTEX-XMD1-0011-R10A-SM-4AT4A,BRAIN
GTEX-13W46-0926-SM-5LU3T,THYROID
GTEX-13QBU-1626-SM-5LU4S,UTERUS
GTEX-XUJ4-1026-SM-4BOPB,ESOPHAGUS
GTEX-Y8DK-0011-R5B-SM-4RTW6,BRAIN
GTEX-QMRM-0826-SM-2I5G7,LUNG
GTEX-111CU-1726-SM-5EGHM,TESTIS
GTEX-11ILO-1026-SM-5A5LP,ESOPHAGUS
GTEX-UJMC-0326-SM-3GAE2,THYROID
GTEX-OHPJ-0008-SM-4E3JG,SKIN
GTEX-SUCS-0626-SM-32PM5,LUNG
GTEX-13OW7-1926-SM-5LUB4,ESOPHAGUS
GTEX-ZF29-0926-SM-4WKFZ,SKIN
GTEX-13SLX-1326-SM-5S2QS,PANCREAS
GTEX-ZUA1-0011-R10a-SM-51MT6,BRAIN
GTEX-WHSE-0426-SM-4M1XO,TESTIS
GTEX-PVOW-1026-SM-5O9B9,LUNG
GTEX-11GS4-1426-SM-5N9D2,ESOPHAGUS
GTEX-117XS-3126-SM-5GIDP,BRAIN
GTEX-13NZ9-0926-SM-5KM12,LUNG
GTEX-QVJO-0011-R4A-SM-2S1QL,BRAIN
GTEX-12WS9-0126-SM-5EGL7,SKIN
GTEX-12WSM-0008-SM-5S2VD,SKIN
GTEX-XMD1-2826-SM-4AT5F,BRAIN
GTEX-WFON-0826-SM-4LVMI,ESOPHAGUS
GTEX-12WSC-0011-R5b-SM-5CVNS,BRAIN
GTEX-11ZUS-0011-R8a-SM-5BC73,BRAIN
GTEX-1122O-1826-SM-5EGIP,ESOPHAGUS
GTEX-13QBU-0526-SM-5IJFE,ADRENAL GLAND
GTEX-13PVQ-0011-R7a-SM-5L3G3,BRAIN
GTEX-YJ8O-0326-SM-5RQJW,ESOPHAGUS
K-562-SM-5DUV6,BONE MARROW
GTEX-WFJO-0008-SM-4LVN7,SKIN
GTEX-VUSG-0926-SM-5S2SV,LUNG
GTEX-131XF-0826-SM-5GICG,ESOPHAGUS
GTEX-11DXY-2326-SM-5GICW,BREAST
GTEX-145LS-3126-SM-5Q5BY,BRAIN
GTEX-13FHO-0011-R5b-SM-5LZZ3,BRAIN
GTEX-XUYS-0126-SM-47JWZ,SKIN
GTEX-V955-1226-SM-4JBI9,ESOPHAGUS
GTEX-X62O-2226-SM-46MW3,ESOPHAGUS
GTEX-13RTJ-0011-R11a-SM-5O9CK,BRAIN
GTEX-XPVG-0526-SM-4B65N,KIDNEY
GTEX-144GL-0011-R6a-SM-5P9HW,BRAIN
GTEX-WYJK-0526-SM-3NM8Z,SKIN
GTEX-T2IS-1526-SM-32QPR,BREAST
GTEX-XUJ4-1226-SM-4BOPD,STOMACH
GTEX-ZZPU-1226-SM-5N9CK,ADRENAL GLAND
GTEX-XBEW-1626-SM-4SOJP,PANCREAS
GTEX-N7MS-1626-SM-3LK5F,KIDNEY
GTEX-1192X-2326-SM-5987X,BREAST
GTEX-YF7O-0826-SM-4W21F,ESOPHAGUS
GTEX-ZVZP-2426-SM-59HKJ,SKIN
GTEX-ZT9X-0126-SM-4YCFC,ADRENAL GLAND
GTEX-ZV6S-2326-SM-4YCEY,SKIN
K-562-SM-3GIKB,BONE MARROW
GTEX-147GR-0011-R4a-SM-5S2V2,BRAIN
GTEX-T5JW-0226-SM-4DM7I,PANCREAS
GTEX-YJ89-0626-SM-4TT3Z,TESTIS
GTEX-ZC5H-1726-SM-5HL7X,KIDNEY
GTEX-XBED-0008-SM-47JWO,SKIN
GTEX-R55C-0226-SM-48FEO,ADRENAL GLAND
K-562-SM-5MR5S,BONE MARROW
GTEX-SJXC-0008-SM-4DM7G,SKIN
GTEX-13SLW-0011-R1a-SM-5S2W7,BRAIN
GTEX-ZDTT-0126-SM-4WKHA,ADRENAL GLAND
GTEX-PWO3-0011-R8A-SM-2I5GD,BRAIN
GTEX-ZAK1-1826-SM-5HL93,ESOPHAGUS
GTEX-S4UY-0008-SM-3NM8H,SKIN
GTEX-RU72-0126-SM-2TF6Z,THYROID
GTEX-13N1W-1926-SM-5IJCH,ESOPHAGUS
GTEX-WFG8-1826-SM-4LVM4,PROSTATE
GTEX-Z93S-2826-SM-57WBL,BRAIN
GTEX-13111-1226-SM-5GCNC,STOMACH
GTEX-1497J-0326-SM-5Q5CN,LUNG
GTEX-1128S-2726-SM-5H12C,BRAIN
GTEX-QMR6-0008-SM-447AV,SKIN
GTEX-13G51-1026-SM-5K7YQ,ESOPHAGUS
GTEX-PWCY-0926-SM-48TD7,STOMACH
GTEX-111VG-2426-SM-5GZXD,SKIN
GTEX-O5YT-0526-SM-32PK8,LUNG
GTEX-NL4W-0011-R8a-SM-2I3G4,BRAIN
GTEX-13QIC-3026-SM-5LU58,BRAIN
GTEX-11GSP-0011-R10a-SM-5NQ7J,BRAIN
GTEX-RVPU-0011-R1A-SM-2XCAI,BRAIN
GTEX-XOTO-0011-R3A-SM-4B64W,BRAIN
GTEX-P44G-0011-R3A-SM-2I3FC,BRAIN
GTEX-1399T-0011-R4b-SM-5DUVX,BRAIN
GTEX-UJHI-0926-SM-4IHKF,ESOPHAGUS
GTEX-ZYVF-0926-SM-5E44J,SKIN
GTEX-13QIC-2326-SM-5LU5N,BREAST
GTEX-OHPL-0526-SM-4M1XS,LUNG
GTEX-XBED-1126-SM-48TCF,ESOPHAGUS
GTEX-13N2G-2626-SM-5J1OT,SKIN
GTEX-12ZZX-0011-R11a-SM-5DUVJ,BRAIN
GTEX-13OVI-1226-SM-5J2ME,ADRENAL GLAND
GTEX-11ZTS-1226-SM-5EQMQ,LUNG
GTEX-132QS-0326-SM-5IJFN,THYROID
GTEX-12WSL-2526-SM-5GCNJ,SKIN
GTEX-111CU-0926-SM-5EGIK,STOMACH
GTEX-XOTO-0008-SM-4GICE,SKIN
GTEX-WH7G-2326-SM-3NMBC,SKIN
GTEX-U3ZN-0226-SM-3DB8D,LIVER
GTEX-11WQK-2226-SM-5CVL7,ESOPHAGUS
GTEX-YB5E-0226-SM-5IFHI,ADRENAL GLAND
GTEX-1122O-0126-SM-5GICA,LUNG
GTEX-12WSD-1826-SM-5GCOA,ESOPHAGUS
GTEX-13W3W-1326-SM-5LU4T,ADRENAL GLAND
K-562-SM-4M1XD,BONE MARROW
GTEX-Y8E4-2126-SM-5RQHO,PROSTATE
GTEX-PSDG-1526-SM-48TCY,PANCREAS
GTEX-P4PQ-1526-SM-3NMCK,STOMACH
GTEX-13FTY-0526-SM-5L3EV,SKIN
GTEX-R55E-0011-R4A-SM-2TC5H,BRAIN
GTEX-13O3Q-0011-R5b-SM-5P9H4,BRAIN
GTEX-WYVS-0826-SM-4RTXB,ESOPHAGUS
GTEX-131XW-3126-SM-5LZUC,BRAIN
GTEX-146FH-1226-SM-5NQB6,LUNG
GTEX-N7MS-0011-R1a-SM-2HMJG,BRAIN
GTEX-ZUA1-3026-SM-59HJC,BRAIN
GTEX-Y5V5-0326-SM-5RQJG,THYROID
GTEX-12WSC-0011-R11a-SM-5GU5J,BRAIN
GTEX-PX3G-0126-SM-2I3EN,SKIN
GTEX-XAJ8-1426-SM-47JYM,SKIN
GTEX-ZPU1-1426-SM-4WWFU,ESOPHAGUS
GTEX-13FHP-2926-SM-5IJG9,BRAIN
GTEX-N7MT-0011-R1a-SM-5SI7S,BRAIN
GTEX-ZLFU-1726-SM-4WWBU,PROSTATE
GTEX-144GN-2326-SM-5LU4F,SKIN
GTEX-Z93S-2926-SM-57WB9,BRAIN
GTEX-U8XE-0126-SM-4E3I3,TESTIS
GTEX-131XH-2926-SM-5LZU4,BRAIN
GTEX-ZXES-0826-SM-5E43C,BREAST
GTEX-13OVH-1026-SM-5J2NP,LUNG
GTEX-ZZPT-3026-SM-5GZXH,BRAIN
GTEX-WEY5-0626-SM-4LMIA,OVARY
GTEX-13RTK-0326-SM-5RQHS,THYROID
GTEX-OHPN-0011-R6A-SM-2I5FH,BRAIN
GTEX-VUSG-0326-SM-3GIJ7,PANCREAS
GTEX-XYKS-0526-SM-4BRW2,LUNG
GTEX-ZVT3-0926-SM-5GICK,LUNG
GTEX-RWS6-0926-SM-47JXE,STOMACH
GTEX-13PLJ-0011-R11b-SM-5O9BS,BRAIN
GTEX-P44G-0011-R10A-SM-2I3FF,BRAIN
GTEX-RU72-0011-R10A-SM-2TF6D,BRAIN
GTEX-11LCK-2226-SM-5HL4Q,SKIN
GTEX-RU72-2626-SM-4GIE1,UTERUS
GTEX-XLM4-0011-R2B-SM-4AT5Z,BRAIN
GTEX-11VI4-1726-SM-5CVLH,SKIN
GTEX-R3RS-0008-SM-48FF1,SKIN
GTEX-Y5LM-0426-SM-4VBRO,LIVER
GTEX-ZYFC-0926-SM-5GZWW,THYROID
GTEX-11NSD-0008-SM-5Q5BC,SKIN
GTEX-WL46-0011-R6A-SM-3LK6X,BRAIN
GTEX-11WQC-0011-R5a-SM-5BC74,BRAIN
GTEX-ZYW4-1526-SM-5SIBA,LUNG
GTEX-ZE9C-2726-SM-57WB5,SKIN
GTEX-139TS-0011-R6a-SM-5J2OB,BRAIN
GTEX-139YR-0226-SM-5IFEM,LIVER
GTEX-12ZZZ-2026-SM-5LZWJ,PROSTATE
GTEX-ZDXO-0126-SM-5S2ND,BREAST
GTEX-RU1J-0126-SM-2TF6Y,LUNG
GTEX-111FC-0126-SM-5N9DL,SKIN
GTEX-145MI-0011-R3b-SM-5PNWK,BRAIN
GTEX-WZTO-0011-R5B-SM-3NMC5,BRAIN
GTEX-11P82-0626-SM-5PNYK,ESOPHAGUS
GTEX-ZP4G-1126-SM-4WWCI,ESOPHAGUS
GTEX-ZVT2-2526-SM-51MT1,SKIN
GTEX-13NZA-0011-R8b-SM-5KM2Q,BRAIN
GTEX-131YS-2026-SM-5P9J8,ADRENAL GLAND
GTEX-13FHP-0011-R11b-SM-5LZXP,BRAIN
GTEX-11PRG-2926-SM-5987A,BRAIN
GTEX-NPJ8-0011-R3a-SM-2HMIW,BRAIN
GTEX-ZEX8-1426-SM-4WKHQ,ESOPHAGUS
GTEX-ZTTD-1026-SM-51MRD,BREAST
GTEX-OXRP-0326-SM-5SI7J,THYROID
GTEX-WFJO-0326-SM-3GIL3,LUNG
GTEX-N7MS-0011-R5a-SM-2HMK8,BRAIN
GTEX-Q2AG-0011-R8A-SM-2HMK5,BRAIN
GTEX-X4XX-0011-R11A-SM-46MWQ,BRAIN
GTEX-11DYG-0826-SM-5N9GH,THYROID
GTEX-Q734-0526-SM-2I3EH,THYROID
GTEX-XOTO-0011-R6B-SM-4B65X,BRAIN
K-562-SM-2TC5E,BONE MARROW
GTEX-13OW6-0011-R2a-SM-5L3HG,BRAIN
GTEX-13QJC-0726-SM-5RQJK,LIVER
GTEX-RTLS-0008-SM-48FET,SKIN
GTEX-11WQK-3026-SM-5EQL6,BRAIN
GTEX-OXRK-0008-SM-3NB28,SKIN
GTEX-131XF-2126-SM-5DUWS,SKIN
GTEX-ZGAY-1226-SM-4YCF4,ESOPHAGUS
GTEX-13SLX-0011-R6a-SM-5PNX4,BRAIN
GTEX-QDVN-0426-SM-48TZ6,ADRENAL GLAND
GTEX-1313W-0126-SM-5LZUN,SKIN
GTEX-13PVQ-0126-SM-5SIB4,SKIN
GTEX-PWO3-1026-SM-2I5F2,BRAIN
GTEX-QDT8-0011-R2A-SM-32PKQ,BRAIN
GTEX-WYJK-2126-SM-4ONDG,ESOPHAGUS
GTEX-113IC-0126-SM-5HL6T,SKIN
GTEX-13OVJ-0011-R2b-SM-5L3GP,BRAIN
GTEX-ZDYS-2026-SM-5HL5L,SKIN
GTEX-147F4-0011-R6b-SM-5S2UP,BRAIN
GTEX-13OVL-0011-R8a-SM-5L3HH,BRAIN
GTEX-WFG8-2226-SM-3GIL9,SKIN
GTEX-13FTW-1726-SM-5KM2B,STOMACH
GTEX-ZVT2-0008-SM-57WC9,SKIN
GTEX-11ZTT-2426-SM-5EQLS,SKIN
GTEX-11OF3-0011-R11a-SM-57WCR,BRAIN
GTEX-YEC3-0226-SM-5IFJO,LUNG
GTEX-13N2G-0011-R11a-SM-5MR3F,BRAIN
GTEX-ZV6S-1826-SM-5NQ8D,BREAST
GTEX-NL3H-0011-R2a-SM-2I3GG,BRAIN
K-562-SM-5O9BA,BONE MARROW
GTEX-13IVO-0011-R11b-SM-5LZXQ,BRAIN
GTEX-Z93S-0011-R10a-SM-4RGNM,BRAIN
GTEX-14ASI-0726-SM-5Q5DC,THYROID
GTEX-12WSH-0011-R9b-SM-5LZUG,BRAIN
GTEX-ZV68-0011-R10a-SM-51MT7,BRAIN
GTEX-11EMC-2026-SM-5A5JV,BREAST
GTEX-XBED-1926-SM-47JYP,SKIN
GTEX-ZA64-0626-SM-5HL9O,ESOPHAGUS
GTEX-11EMC-2926-SM-5EQ4F,SKIN
GTEX-111YS-0008-SM-5Q5BH,SKIN
GTEX-QDVN-0626-SM-2I3FP,THYROID
GTEX-13X6I-0011-R2b-SM-5PNWQ,BRAIN
GTEX-132AR-0826-SM-5EGK6,BREAST
K-562-SM-57WAW,BONE MARROW
GTEX-QVJO-0011-R2A-SM-2S1QK,BRAIN
GTEX-P44G-0626-SM-2I5EO,THYROID
GTEX-132AR-2426-SM-5IFFD,STOMACH
GTEX-POMQ-0008-SM-48TE7,SKIN
GTEX-R55F-1326-SM-5S2V4,BRAIN
GTEX-14BMV-1426-SM-5S2WA,ESOPHAGUS
GTEX-T6MN-2626-SM-32PMQ,BRAIN
GTEX-T5JC-0011-R2A-SM-32PLZ,BRAIN
GTEX-13IVO-0011-R3b-SM-5IJBJ,BRAIN
GTEX-T6MN-0011-R11A-SM-5S2TH,BRAIN
GTEX-145LU-0011-R11b-SM-5P9JX,BRAIN
GTEX-13OVL-0011-R3b-SM-5L3I8,BRAIN
GTEX-13CF3-0426-SM-5IJEU,LUNG
GTEX-11ZVC-0011-R3a-SM-5BC6V,BRAIN
GTEX-ZAK1-0726-SM-5HL8Q,THYROID
GTEX-ZVT3-2126-SM-59HL2,STOMACH
GTEX-ZTPG-1426-SM-51MT3,LIVER
GTEX-139YR-1226-SM-5IFEU,THYROID
GTEX-X4XY-1026-SM-46MVX,LUNG
GTEX-12ZZZ-3126-SM-5LZU6,BRAIN
GTEX-131XG-2026-SM-5GCN5,UTERUS
GTEX-ZUA1-2926-SM-59HL3,BRAIN
GTEX-13FLW-0011-R8b-SM-5J1MZ,BRAIN
GTEX-12ZZW-1726-SM-5DUVD,ESOPHAGUS
GTEX-ZLV1-1526-SM-4WWBC,SKIN
GTEX-1211K-0126-SM-59HJE,ADRENAL GLAND
GTEX-NL4W-0011-R9a-SM-2I3G1,BRAIN
GTEX-S3XE-0926-SM-4AD4S,ESOPHAGUS
GTEX-13OW6-2726-SM-5J2OE,SKIN
