,sample_type
GTEX-WFON-2126-SM-3LK7O,TISSUE
GTEX-12584-1426-SM-5EGJ9,TISSUE
GTEX-ZZPU-2626-SM-5E45Y,TISSUE
GTEX-145MI-0011-R6a-SM-5PNZA,TISSUE
GTEX-14A6H-0326-SM-5NQAN,TISSUE
GTEX-144GN-0626-SM-5O9B2,TISSUE
K-562-SM-5MR32,TISSUE
GTEX-ZTSS-0626-SM-59867,TISSUE
GTEX-13OVL-0426-SM-5IFG6,TISSUE
GTEX-RWS6-0226-SM-2XCA9,TISSUE
GTEX-ZTTD-2826-SM-4YCFA,TISSUE
GTEX-ZYY3-3026-SM-5GIEJ,TISSUE
GTEX-UTHO-0011-R4A-SM-3GIJP,TISSUE
GTEX-144GN-2426-SM-5LU4R,TISSUE
GTEX-13OVL-0011-R5b-SM-5L3FU,TISSUE
GTEX-N7MT-0011-R4a-SM-2I3G9,TISSUE
GTEX-1399R-0006-SM-5N9FR,TISSUE
GTEX-13FTX-1826-SM-5J1NX,TISSUE
GTEX-ZTX8-0426-SM-59HLG,TISSUE
GTEX-ZTPG-0926-SM-5O99H,TISSUE
GTEX-12WSG-1226-SM-5EQ4C,TISSUE
GTEX-11DXW-0008-SM-5Q59V,TISSUE
GTEX-146FR-1226-SM-5SIA7,TISSUE
GTEX-ZYFG-1826-SM-5GZWX,TISSUE
GTEX-YFC4-1526-SM-5IFJS,TISSUE
GTEX-146FR-1526-SM-5SIB8,TISSUE
GTEX-14ABY-1126-SM-5Q5F8,TISSUE
GTEX-14BIL-0011-R9a-SM-5SI7A,TISSUE
GTEX-W5WG-1126-SM-4LMK4,TISSUE
GTEX-11TUW-2626-SM-5EQKZ,TISSUE
GTEX-XBED-1626-SM-47JYN,TISSUE
GTEX-S341-0626-SM-4AD5T,TISSUE
GTEX-132QS-0826-SM-5K7WV,TISSUE
GTEX-13OVI-2126-SM-5KM3U,TISSUE
GTEX-ZQUD-0626-SM-51MR2,TISSUE
GTEX-132Q8-0011-R5a-SM-5IJDM,TISSUE
GTEX-11GSP-0426-SM-5A5KX,TISSUE
GTEX-ZQUD-0326-SM-4YCEN,TISSUE
GTEX-111VG-0326-SM-5GZX7,TISSUE
GTEX-11WQC-0011-R7b-SM-5BC7A,TISSUE
GTEX-1497J-0826-SM-5NQAJ,TISSUE
GTEX-VUSG-0626-SM-4KL1Z,TISSUE
GTEX-XXEK-2026-SM-4BRVE,TISSUE
GTEX-11DXX-1826-SM-5H126,TISSUE
GTEX-11ZVC-0326-SM-5CVLC,TISSUE
GTEX-11EM3-1626-SM-5N9CO,TISSUE
GTEX-Y8LW-0326-SM-4VBQ9,TISSUE
GTEX-11LCK-2326-SM-5HL53,TISSUE
GTEX-131XH-0826-SM-5GCN8,TISSUE
GTEX-YEC4-1426-SM-5IFHS,TISSUE
GTEX-13D11-0826-SM-5KLZJ,TISSUE
GTEX-12KS4-0005-SM-5SI94,TISSUE
GTEX-13G51-0011-R11b-SM-5J2NE,TISSUE
GTEX-13O1R-1226-SM-5J1NU,TISSUE
GTEX-ZVE2-0326-SM-57WFC,TISSUE
GTEX-1269C-0226-SM-5EGKS,TISSUE
GTEX-13W3W-0005-SM-5SI9Y,TISSUE
GTEX-13112-0526-SM-5EQ4S,TISSUE
GTEX-12WS9-0626-SM-5FQT2,TISSUE
GTEX-ZC5H-1526-SM-5HL9Y,TISSUE
GTEX-13FLV-1326-SM-5L3EJ,TISSUE
GTEX-RVPV-1226-SM-2TF73,TISSUE
GTEX-X638-0003-SM-47JZ1,TISSUE
GTEX-ZYW4-1126-SM-5SI99,TISSUE
GTEX-ZXES-1826-SM-5E43S,TISSUE
GTEX-132Q8-0011-R1a-SM-5EGLK,TISSUE
GTEX-13OVJ-0011-R7a-SM-5L3G1,TISSUE
GTEX-X4LF-0008-SM-4QAST,TISSUE
GTEX-U8T8-2226-SM-3DB95,TISSUE
GTEX-13NZB-2526-SM-5J1OM,TISSUE
GTEX-PLZ6-1426-SM-5S2TR,TISSUE
GTEX-13U4I-1026-SM-5LU3G,TISSUE
GTEX-ZE9C-2326-SM-5J1NT,TISSUE
GTEX-QEG5-0126-SM-4R1JR,TISSUE
GTEX-PWO3-0011-R2A-SM-2S1OX,TISSUE
GTEX-145LU-1226-SM-5LU9B,TISSUE
GTEX-11I78-2626-SM-5Q5AI,TISSUE
GTEX-V955-1026-SM-4JBHO,TISSUE
GTEX-RVPU-0011-R4A-SM-5SI8K,TISSUE
GTEX-13JUV-0011-R5a-SM-5LZY5,TISSUE
GTEX-RN64-1626-SM-48FD7,TISSUE
GTEX-ZF28-1026-SM-4WKGV,TISSUE
GTEX-1192X-1526-SM-5H11I,TISSUE
GTEX-QV44-0726-SM-4R1KP,TISSUE
GTEX-QVJO-1626-SM-2S1QW,TISSUE
GTEX-ZT9X-0526-SM-5GCOP,TISSUE
GTEX-TSE9-2826-SM-4DXTF,TISSUE
GTEX-T2YK-0326-SM-4DM7D,TISSUE
GTEX-S4Z8-1226-SM-4AD6W,TISSUE
GTEX-13IVO-0011-R11b-SM-5LZXQ,TISSUE
GTEX-YJ8O-0826-SM-5CVM3,TISSUE
GTEX-14C38-1526-SM-5RQJ7,TISSUE
GTEX-13OVG-2226-SM-5K7V8,TISSUE
GTEX-12ZZX-0011-R7b-SM-5DUVV,TISSUE
GTEX-X88G-0126-SM-47JZ3,TISSUE
GTEX-13SLW-0011-R8b-SM-5SI64,TISSUE
GTEX-13X6I-0011-R7b-SM-5PNWP,TISSUE
GTEX-13O3O-1826-SM-5IFGW,TISSUE
GTEX-13QIC-2326-SM-5LU5N,TISSUE
GTEX-V1D1-0926-SM-4JBHQ,TISSUE
GTEX-U8XE-0126-SM-4E3I3,TISSUE
GTEX-YJ8O-2826-SM-5CVM4,TISSUE
GTEX-12WSF-0011-R11a-SM-5LZVT,TISSUE
GTEX-12WSE-0011-R1b-SM-5GU4V,TISSUE
GTEX-111FC-3026-SM-5GZYJ,TISSUE
GTEX-V955-0326-SM-4JBGV,TISSUE
GTEX-131XF-0426-SM-5HL7U,TISSUE
GTEX-R55G-1526-SM-48FER,TISSUE
GTEX-145MO-2626-SM-5QGPD,TISSUE
GTEX-RU72-0626-SM-46MUI,TISSUE
GTEX-XMD1-0526-SM-4AT4Z,TISSUE
GTEX-14BIN-1126-SM-5RQJZ,TISSUE
GTEX-11XUK-2126-SM-5EQLR,TISSUE
GTEX-13FLV-0011-R5a-SM-5LZWT,TISSUE
GTEX-S3XE-0826-SM-4AD4U,TISSUE
GTEX-WY7C-0626-SM-4ONCT,TISSUE
GTEX-139T8-0011-R3b-SM-5HL4R,TISSUE
GTEX-1399T-2826-SM-5KLYZ,TISSUE
GTEX-ZVTK-0826-SM-5GZXI,TISSUE
GTEX-PWOO-0326-SM-48TDB,TISSUE
GTEX-131XE-2326-SM-5PNZ2,TISSUE
GTEX-12ZZX-0226-SM-5DUXU,TISSUE
GTEX-145MF-0526-SM-5LUA6,TISSUE
GTEX-11ZTS-0326-SM-5EQKP,TISSUE
GTEX-ZYWO-1526-SM-5SIAL,TISSUE
GTEX-12WSM-1726-SM-5BC6J,TISSUE
GTEX-S7SE-0526-SM-2XCD8,TISSUE
GTEX-XMD1-0011-R5A-SM-4AT47,TISSUE
GTEX-TMMY-1526-SM-4DXST,TISSUE
GTEX-ZP4G-2426-SM-57WEY,TISSUE
GTEX-ZAB5-2626-SM-5KM3Y,TISSUE
GTEX-111CU-0826-SM-5EGIJ,TISSUE
GTEX-13OVI-2626-SM-5KM4T,TISSUE
GTEX-13U4I-1126-SM-5LU3S,TISSUE
GTEX-ZE7O-0226-SM-5S2N1,TISSUE
GTEX-X5EB-0726-SM-46MVR,TISSUE
GTEX-13N11-1526-SM-5L3FL,TISSUE
GTEX-11I78-1026-SM-5HL74,TISSUE
GTEX-13113-1026-SM-5LZWM,TISSUE
GTEX-132QS-0005-SM-5LZXK,TISSUE
GTEX-S7SE-0326-SM-4AT5Q,TISSUE
GTEX-RM2N-0008-SM-48FF3,TISSUE
GTEX-1445S-1126-SM-5QGOW,TISSUE
GTEX-144GO-0011-R1a-SM-5PNWO,TISSUE
GTEX-ZVT4-1326-SM-5NQ8E,TISSUE
GTEX-S3XE-1126-SM-4AD4N,TISSUE
GTEX-113IC-0008-SM-5QGRF,TISSUE
GTEX-11GSO-0226-SM-5A5LV,TISSUE
GTEX-YJ8A-0426-SM-5IFID,TISSUE
GTEX-13OW5-0011-R8a-SM-5L3GQ,TISSUE
GTEX-RVPV-1726-SM-5SI8C,TISSUE
GTEX-XXEK-1926-SM-4BRVD,TISSUE
GTEX-ZAK1-1826-SM-5HL93,TISSUE
GTEX-131XH-0626-SM-5LZWH,TISSUE
GTEX-ZT9X-1426-SM-5DUX1,TISSUE
GTEX-1211K-2026-SM-5EQ4Z,TISSUE
GTEX-1192W-0826-SM-5EGHE,TISSUE
GTEX-X585-0011-R4B-SM-46MVH,TISSUE
GTEX-11OF3-1726-SM-5GU5Q,TISSUE
GTEX-13JVG-0726-SM-5KM16,TISSUE
GTEX-YFCO-0926-SM-5LUA5,TISSUE
GTEX-146FH-0126-SM-5QGPP,TISSUE
GTEX-WYVS-0004-SM-4ONDT,TISSUE
GTEX-ZEX8-2326-SM-5S2MN,TISSUE
GTEX-T2IS-0008-SM-4DM75,TISSUE
GTEX-R55G-0926-SM-48FDN,TISSUE
GTEX-ZF29-1026-SM-4WKGC,TISSUE
GTEX-XQ3S-0006-SM-4BOQ4,TISSUE
GTEX-13O3P-1226-SM-5J2O8,TISSUE
GTEX-13N11-2826-SM-5KM4Z,TISSUE
GTEX-12696-2226-SM-5EQ65,TISSUE
GTEX-U3ZH-1026-SM-4DXUZ,TISSUE
GTEX-11ONC-0011-R1a-SM-57WD4,TISSUE
GTEX-ZVZQ-0011-R4b-SM-57WCZ,TISSUE
GTEX-13N1W-1926-SM-5IJCH,TISSUE
GTEX-13CF2-0226-SM-5L3DV,TISSUE
GTEX-XMD1-0011-R9A-SM-4AT49,TISSUE
GTEX-12WSD-1626-SM-5GCNR,TISSUE
GTEX-ZXES-1226-SM-5NQ8G,TISSUE
GTEX-11TT1-2426-SM-5EQMK,TISSUE
GTEX-XBEW-0926-SM-4QASR,TISSUE
GTEX-ZA64-1026-SM-5HL8R,TISSUE
GTEX-11P7K-0003-SM-5S2OU,TISSUE
GTEX-12ZZY-0726-SM-5EQ66,TISSUE
GTEX-QDT8-1326-SM-48TYY,TISSUE
GTEX-P44G-0011-R2A-SM-2XCD2,TISSUE
GTEX-PVOW-0008-SM-48TE8,TISSUE
GTEX-NFK9-1126-SM-3LK78,TISSUE
GTEX-ZZPU-2226-SM-5EGIV,TISSUE
GTEX-ZLFU-1826-SM-4WWBV,TISSUE
GTEX-147JS-1126-SM-5RQIW,TISSUE
GTEX-T6MN-0426-SM-32PMF,TISSUE
GTEX-QV31-0126-SM-447BP,TISSUE
GTEX-12WSL-1226-SM-5DUXE,TISSUE
GTEX-13PVQ-2926-SM-5L3HJ,TISSUE
GTEX-QMRM-0226-SM-4R1K7,TISSUE
GTEX-13G51-2626-SM-5LZYW,TISSUE
GTEX-XUJ4-2526-SM-4BOO4,TISSUE
GTEX-11P81-1326-SM-5GU5S,TISSUE
GTEX-14C38-2126-SM-5RQJO,TISSUE
GTEX-11GSO-2526-SM-5PNVX,TISSUE
GTEX-WYVS-1026-SM-4SOJW,TISSUE
GTEX-NPJ8-1526-SM-26GMY,TISSUE
GTEX-W5WG-1626-SM-4LMKG,TISSUE
GTEX-Z93T-0426-SM-5HL6G,TISSUE
GTEX-XQ8I-2126-SM-4BOOM,TISSUE
GTEX-QMRM-0926-SM-447BR,TISSUE
GTEX-QMRM-0008-SM-447B1,TISSUE
GTEX-P44G-2326-SM-2XCCZ,TISSUE
GTEX-139T8-0126-SM-5K7XZ,TISSUE
GTEX-R55F-0226-SM-48FCI,TISSUE
GTEX-XUJ4-2826-SM-4BOQ2,TISSUE
GTEX-14E6E-0726-SM-5S2R3,TISSUE
GTEX-ZDTT-2126-SM-5S2O7,TISSUE
GTEX-12WSD-1926-SM-5GCOV,TISSUE
GTEX-ZE7O-1126-SM-57WC8,TISSUE
GTEX-132AR-2526-SM-5PNVM,TISSUE
GTEX-XBED-2426-SM-4AT4O,TISSUE
GTEX-11P81-2626-SM-5GU6T,TISSUE
K-562-SM-4M1XD,TISSUE
GTEX-14DAQ-3026-SM-5S2QZ,TISSUE
GTEX-S7SE-0011-R5A-SM-2XCDA,TISSUE
GTEX-QV31-1526-SM-2S1QB,TISSUE
GTEX-12C56-1626-SM-5FQUO,TISSUE
GTEX-145MH-0011-R6a-SM-5PNZ7,TISSUE
GTEX-VJYA-2126-SM-4KL1O,TISSUE
GTEX-TMKS-0326-SM-3DB8A,TISSUE
GTEX-T6MN-0626-SM-5S2SS,TISSUE
GTEX-OIZF-0006-SM-2I5GQ,TISSUE
GTEX-PVOW-0011-R5A-SM-32PL7,TISSUE
GTEX-PSDG-0226-SM-33HC1,TISSUE
GTEX-U3ZH-0326-SM-3DB7A,TISSUE
GTEX-13N2G-2326-SM-5J1ON,TISSUE
GTEX-11P81-0826-SM-5P9GR,TISSUE
GTEX-POYW-0726-SM-2XCEO,TISSUE
GTEX-1211K-1426-SM-5FQTF,TISSUE
GTEX-11TTK-0005-SM-5O9BX,TISSUE
GTEX-WYBS-0326-SM-3NM8S,TISSUE
GTEX-WYJK-0005-SM-3NMA1,TISSUE
GTEX-13SLW-0011-R6a-SM-5O9BH,TISSUE
GTEX-OHPK-1526-SM-3MJGM,TISSUE
GTEX-WEY5-0001-SM-3P61Z,TISSUE
GTEX-YECK-1226-SM-4W21G,TISSUE
GTEX-SNOS-1426-SM-32PLY,TISSUE
GTEX-13OW5-0826-SM-5J1NE,TISSUE
GTEX-ZVT3-0008-SM-51MRI,TISSUE
GTEX-11EI6-0005-SM-5N9GN,TISSUE
GTEX-OOBJ-1026-SM-3NB2L,TISSUE
GTEX-OXRO-0126-SM-2YUN4,TISSUE
GTEX-ZVT2-1626-SM-51MRC,TISSUE
GTEX-13W46-0826-SM-5LU3H,TISSUE
GTEX-WY7C-1126-SM-3NB3A,TISSUE
GTEX-T6MN-0011-R2A-SM-32QOW,TISSUE
GTEX-11P81-2026-SM-5P9GT,TISSUE
GTEX-WWYW-3226-SM-3NB3B,TISSUE
K-562-SM-2TF5R,TISSUE
GTEX-13OVJ-0011-R3b-SM-5P9H6,TISSUE
GTEX-11EQ9-2026-SM-5P9JI,TISSUE
GTEX-U4B1-0326-SM-3DB8K,TISSUE
GTEX-ZUA1-0011-R11b-SM-51MTI,TISSUE
GTEX-Y114-1626-SM-4TT7I,TISSUE
GTEX-P78B-1726-SM-3P5ZV,TISSUE
GTEX-X4XX-0626-SM-3NMC1,TISSUE
GTEX-XPT6-0226-SM-4B65L,TISSUE
GTEX-XPT6-0326-SM-4B66V,TISSUE
GTEX-ZVE2-0008-SM-51MRU,TISSUE
GTEX-XOT4-0008-SM-4B664,TISSUE
GTEX-TMKS-0005-SM-33OV7,TISSUE
GTEX-11EMC-1426-SM-5N9E4,TISSUE
GTEX-OOBK-1626-SM-2HMKG,TISSUE
GTEX-PLZ5-1626-SM-3NB21,TISSUE
GTEX-ZZ64-0426-SM-5E43F,TISSUE
GTEX-NFK9-0226-SM-2HMKQ,TISSUE
GTEX-ZTSS-1526-SM-51MTC,TISSUE
GTEX-11TT1-1926-SM-5PNYN,TISSUE
GTEX-WY7C-2426-SM-3NB2V,TISSUE
GTEX-WK11-1026-SM-4OOS8,TISSUE
GTEX-NPJ8-0011-R4a-SM-2HML3,TISSUE
GTEX-13QBU-1726-SM-5IJFQ,TISSUE
GTEX-13O1R-0226-SM-5K7U5,TISSUE
GTEX-Y9LG-0426-SM-4VBRT,TISSUE
GTEX-XPVG-0526-SM-4B65N,TISSUE
GTEX-R53T-1626-SM-3GAEW,TISSUE
GTEX-12WSB-2926-SM-59HKL,TISSUE
GTEX-11DXW-1126-SM-5H12Q,TISSUE
GTEX-YF7O-2226-SM-5CVN8,TISSUE
GTEX-11OF3-0126-SM-5PNYF,TISSUE
GTEX-13O61-2026-SM-5J2M6,TISSUE
GTEX-ZYFD-3026-SM-5E44C,TISSUE
GTEX-139TS-0011-R6a-SM-5J2OB,TISSUE
GTEX-ZDTS-0526-SM-4WKH9,TISSUE
GTEX-13OW6-0011-R11a-SM-5L3H2,TISSUE
GTEX-132QS-0426-SM-5KLZ6,TISSUE
GTEX-13RTL-0011-R3a-SM-5P9JP,TISSUE
GTEX-R45C-0006-SM-3GAD6,TISSUE
GTEX-13FTX-1526-SM-5K7VJ,TISSUE
GTEX-N7MT-0726-SM-3TW8S,TISSUE
GTEX-1313W-0126-SM-5LZUN,TISSUE
GTEX-12KS4-2326-SM-5EGJB,TISSUE
GTEX-WEY5-2126-SM-3GILK,TISSUE
GTEX-TML8-0005-SM-32QPA,TISSUE
GTEX-WVLH-0626-SM-3MJG7,TISSUE
GTEX-XPVG-0008-SM-4GICH,TISSUE
GTEX-OXRK-0226-SM-2YUN1,TISSUE
GTEX-ZQUD-0126-SM-4YCDY,TISSUE
GTEX-WRHU-0926-SM-4E3IG,TISSUE
GTEX-ZZ64-1526-SM-5E43K,TISSUE
GTEX-14ASI-2926-SM-5Q5DG,TISSUE
GTEX-13O61-0726-SM-5J2MD,TISSUE
GTEX-RUSQ-0006-SM-2TF6P,TISSUE
GTEX-WHWD-0126-SM-4OORS,TISSUE
GTEX-ZC5H-2226-SM-4WAWS,TISSUE
GTEX-13NZB-0226-SM-5KM1T,TISSUE
GTEX-UJMC-0008-SM-4IHKK,TISSUE
GTEX-Q734-2026-SM-3GADA,TISSUE
GTEX-13O3O-0326-SM-5K7W2,TISSUE
GTEX-Y8E5-0008-SM-57WBA,TISSUE
GTEX-X4XY-0226-SM-4E3IZ,TISSUE
GTEX-145ME-0826-SM-5O9AF,TISSUE
GTEX-11TT1-0005-SM-5NQ8Y,TISSUE
GTEX-ZYT6-0626-SM-5E45V,TISSUE
GTEX-Y9LG-1526-SM-4WWDR,TISSUE
GTEX-ZVP2-0626-SM-51MSO,TISSUE
GTEX-WFJO-0326-SM-3GIL3,TISSUE
GTEX-13111-0126-SM-5EGHO,TISSUE
GTEX-WHSE-1026-SM-57WAX,TISSUE
GTEX-11O72-2126-SM-5N9FO,TISSUE
GTEX-13JVG-1126-SM-5KM2M,TISSUE
GTEX-11P82-1526-SM-5BC5M,TISSUE
GTEX-UPJH-0006-SM-3GACW,TISSUE
GTEX-11ZTT-0626-SM-5EQLM,TISSUE
GTEX-13IVO-2426-SM-5K7V9,TISSUE
GTEX-XGQ4-0226-SM-4GIDS,TISSUE
GTEX-ZE9C-0011-R6a-SM-4WWCW,TISSUE
GTEX-147F4-0011-R8b-SM-5S2UN,TISSUE
K-562-SM-2TF4E,TISSUE
GTEX-ZDYS-1226-SM-5IJF3,TISSUE
GTEX-12WSK-1426-SM-5CVNN,TISSUE
GTEX-S4P3-0006-SM-3K2AW,TISSUE
GTEX-13VXT-1726-SM-5IFF5,TISSUE
GTEX-ZYWO-1626-SM-5E44H,TISSUE
GTEX-145LS-0011-R2a-SM-5PNZI,TISSUE
GTEX-13FHP-1126-SM-5IJDO,TISSUE
GTEX-QXCU-0226-SM-2TC5W,TISSUE
GTEX-ZC5H-1626-SM-5HL7L,TISSUE
GTEX-U4B1-1626-SM-3DB8N,TISSUE
GTEX-13OVL-0011-R11b-SM-5L3G7,TISSUE
GTEX-117YW-2426-SM-5Q5AE,TISSUE
GTEX-111CU-2026-SM-5GZZC,TISSUE
GTEX-12WSN-2526-SM-5LZU8,TISSUE
GTEX-13W3W-2726-SM-5SIAE,TISSUE
GTEX-13FHO-0011-R1b-SM-5KLZG,TISSUE
GTEX-ZAB4-0126-SM-5CVMG,TISSUE
GTEX-11EQ9-1326-SM-5985X,TISSUE
GTEX-ZVZP-1626-SM-5GIDJ,TISSUE
GTEX-13W3W-2626-SM-5SIA2,TISSUE
GTEX-13VXT-1326-SM-5LU3Y,TISSUE
GTEX-139UC-3126-SM-5J1OY,TISSUE
GTEX-OOBJ-2626-SM-2I3F6,TISSUE
GTEX-13NZB-2226-SM-5MR5B,TISSUE
GTEX-ZQUD-1726-SM-51MRQ,TISSUE
GTEX-QEG4-1126-SM-2S1P7,TISSUE
GTEX-T6MO-1626-SM-32QOM,TISSUE
GTEX-12WSM-0011-R10a-SM-5DUWV,TISSUE
GTEX-1399R-2726-SM-5IJBA,TISSUE
GTEX-145MG-3126-SM-5Q5D3,TISSUE
GTEX-11GSP-0726-SM-5986L,TISSUE
GTEX-1211K-2326-SM-5FQU7,TISSUE
GTEX-11WQC-2826-SM-5GU7A,TISSUE
GTEX-12WS9-0426-SM-59HJW,TISSUE
GTEX-W5WG-2226-SM-4LMI3,TISSUE
GTEX-11P81-2426-SM-5GU65,TISSUE
GTEX-Z93S-0326-SM-5HL84,TISSUE
GTEX-11I78-1926-SM-59878,TISSUE
GTEX-RNOR-2326-SM-2TF4I,TISSUE
GTEX-145MF-2726-SM-5O995,TISSUE
GTEX-ZF28-0011-R7a-SM-4WKF5,TISSUE
GTEX-P78B-1626-SM-5SI85,TISSUE
GTEX-WVJS-2726-SM-4MVNU,TISSUE
GTEX-1399R-2326-SM-5PNYT,TISSUE
GTEX-1399T-0011-R8b-SM-5IJD8,TISSUE
GTEX-145MI-0526-SM-5O9A8,TISSUE
GTEX-RM2N-1126-SM-48FCY,TISSUE
GTEX-11ZTT-0926-SM-5EQMS,TISSUE
GTEX-ZYVF-2326-SM-5E44Z,TISSUE
GTEX-13JVG-1426-SM-5MR4W,TISSUE
GTEX-ZYW4-2126-SM-59HJ9,TISSUE
GTEX-13O3Q-0011-R2b-SM-5KM3K,TISSUE
GTEX-XOT4-0626-SM-4B66L,TISSUE
GTEX-13FTW-1826-SM-5IJEN,TISSUE
GTEX-13O3Q-2426-SM-5IJBR,TISSUE
GTEX-14C38-1726-SM-5RQJC,TISSUE
GTEX-ZYT6-2726-SM-5GICP,TISSUE
GTEX-11PRG-0726-SM-5EGL1,TISSUE
GTEX-12C56-1826-SM-5EQ6D,TISSUE
GTEX-12WSA-1426-SM-5EGJU,TISSUE
GTEX-13FH7-2326-SM-5KM1E,TISSUE
GTEX-13OVL-1826-SM-5KLZR,TISSUE
GTEX-11DYG-2026-SM-5EGGX,TISSUE
GTEX-11EMC-3126-SM-5EGJP,TISSUE
GTEX-YF7O-1826-SM-5IFIU,TISSUE
GTEX-13N11-2926-SM-5K7VD,TISSUE
GTEX-131YS-1726-SM-5HL7G,TISSUE
GTEX-WH7G-0726-SM-5EGIX,TISSUE
GTEX-TMMY-0008-SM-4DXU3,TISSUE
GTEX-13OW8-0011-R2a-SM-5L3G2,TISSUE
GTEX-11P7K-1526-SM-5EGI7,TISSUE
GTEX-ZYVF-0726-SM-5GICF,TISSUE
GTEX-14753-0426-SM-5NQAM,TISSUE
GTEX-14ABY-0011-R5b-SM-5SI7B,TISSUE
GTEX-ZQG8-0626-SM-57WF3,TISSUE
GTEX-ZZ64-0926-SM-5E44L,TISSUE
GTEX-1314G-1726-SM-5LZUX,TISSUE
GTEX-14A6H-2026-SM-5Q5DD,TISSUE
GTEX-YEC4-2326-SM-5IFHV,TISSUE
GTEX-111FC-3326-SM-5GZYV,TISSUE
GTEX-XQ8I-1126-SM-4BOO2,TISSUE
GTEX-S4Z8-0526-SM-4AD4T,TISSUE
GTEX-12WSG-2826-SM-5FQUS,TISSUE
GTEX-WY7C-0826-SM-4ONCG,TISSUE
GTEX-12696-0926-SM-5FQTV,TISSUE
GTEX-11O72-2726-SM-5HL6K,TISSUE
GTEX-U3ZH-0626-SM-4DXT3,TISSUE
GTEX-WQUQ-2526-SM-4MVNO,TISSUE
GTEX-13YAN-2126-SM-5Q5C4,TISSUE
GTEX-12696-1526-SM-5EGL6,TISSUE
GTEX-12696-1926-SM-5EGJT,TISSUE
GTEX-REY6-1226-SM-48FDR,TISSUE
GTEX-11TT1-1026-SM-5PNW7,TISSUE
GTEX-12WSM-0526-SM-5GCO8,TISSUE
GTEX-PVOW-2726-SM-48TCA,TISSUE
GTEX-131XF-1226-SM-5HL8V,TISSUE
GTEX-12WSA-0011-R5b-SM-5GU5I,TISSUE
GTEX-13O3O-0926-SM-5KM1F,TISSUE
GTEX-13G51-0426-SM-5K7Z5,TISSUE
GTEX-145LS-0011-R1b-SM-5PNUP,TISSUE
GTEX-14BMV-0005-SM-5NQ6Y,TISSUE
GTEX-12BJ1-1626-SM-5HL8Y,TISSUE
GTEX-ZAK1-0126-SM-5IJD3,TISSUE
GTEX-XBED-0926-SM-48TCE,TISSUE
GTEX-ZV7C-0526-SM-51MRB,TISSUE
GTEX-WI4N-0926-SM-3LK7K,TISSUE
GTEX-139TT-0011-R1a-SM-5LZVD,TISSUE
GTEX-11EQ8-0226-SM-5EQ5G,TISSUE
GTEX-U412-0006-SM-3DB8J,TISSUE
GTEX-13U4I-2226-SM-5LU5H,TISSUE
GTEX-ZDTS-2726-SM-5L3E2,TISSUE
GTEX-11TUW-0926-SM-5EQMW,TISSUE
GTEX-145LU-0726-SM-5QGP2,TISSUE
GTEX-QMRM-1226-SM-447C6,TISSUE
GTEX-U3ZN-1626-SM-4DXTZ,TISSUE
GTEX-ZAB4-2126-SM-5HL8U,TISSUE
GTEX-ZV6S-1426-SM-59HKX,TISSUE
GTEX-11ZTT-1826-SM-5CVLN,TISSUE
GTEX-XXEK-0326-SM-4BRVV,TISSUE
GTEX-ZYY3-0126-SM-5GZY5,TISSUE
GTEX-132AR-1726-SM-5EGHQ,TISSUE
GTEX-ZQG8-2126-SM-4YCF1,TISSUE
GTEX-12ZZZ-0011-R4b-SM-5DUV7,TISSUE
GTEX-12ZZW-0011-R3a-SM-5DUWW,TISSUE
GTEX-13W3W-2226-SM-5LU4M,TISSUE
GTEX-13VXT-0626-SM-5SIA1,TISSUE
GTEX-PW2O-0226-SM-48TC7,TISSUE
GTEX-YB5K-2426-SM-5IFHP,TISSUE
GTEX-13PVQ-0426-SM-5J1OG,TISSUE
GTEX-ZVZQ-0011-R6b-SM-57WAY,TISSUE
GTEX-13PDP-0126-SM-5L3HD,TISSUE
GTEX-QLQW-1626-SM-4R1K1,TISSUE
GTEX-1192W-3026-SM-5GZZV,TISSUE
GTEX-OXRN-0126-SM-48TDM,TISSUE
GTEX-R55C-1026-SM-48FCM,TISSUE
GTEX-RU1J-1426-SM-46MUV,TISSUE
GTEX-111CU-1726-SM-5EGHM,TISSUE
GTEX-U4B1-0926-SM-4DXUV,TISSUE
GTEX-145ME-1026-SM-5O9B4,TISSUE
GTEX-13OVL-0626-SM-5KM13,TISSUE
GTEX-11EQ9-2526-SM-5HL66,TISSUE
GTEX-X5EB-0426-SM-46MVY,TISSUE
GTEX-11P82-0008-SM-5S2MS,TISSUE
GTEX-W5WG-0008-SM-4KL25,TISSUE
GTEX-1339X-1726-SM-5P9J9,TISSUE
GTEX-13FH7-2226-SM-5IJD4,TISSUE
GTEX-UTHO-0011-R2A-SM-3GIKC,TISSUE
GTEX-139D8-1226-SM-5L3ED,TISSUE
GTEX-13RTK-0226-SM-5RQHR,TISSUE
GTEX-13FTX-0526-SM-5IFGS,TISSUE
GTEX-WFON-0526-SM-4LVLY,TISSUE
GTEX-X5EB-0826-SM-46MVS,TISSUE
GTEX-ZLV1-0926-SM-5S2MR,TISSUE
GTEX-12WSL-2826-SM-5LZWL,TISSUE
GTEX-13111-1126-SM-5GCMZ,TISSUE
GTEX-1122O-2426-SM-5GIDN,TISSUE
GTEX-12WSA-0011-R7b-SM-5GU5U,TISSUE
GTEX-139UC-0011-R4a-SM-5K7XM,TISSUE
GTEX-WZTO-0008-SM-4PQZZ,TISSUE
